Name,Latitude,Longitude,Rating,Categories,Keyword,State
Shri Shiv Kund,28.2465923,77.06427409999999,4.5,"hindu_temple, tourist_attraction, place_of_worship, point_of_interest, establishment",waterfalls,Delhi
Triund Trek,28.5078536,77.0710618,4.7,"tourist_attraction, campground, travel_agency, park, lodging, point_of_interest, establishment",waterfalls,Delhi
Aravalli Tikli,28.3392013,77.04051249999999,0,"park, point_of_interest, establishment",waterfalls,Delhi
"Water Body, Neelwal",28.6682022,76.97988,5,"park, point_of_interest, establishment",waterfalls,Delhi
Kholi Mandir Bandh Lake,28.4410083,77.12051439999999,4.5,"park, point_of_interest, establishment",waterfalls,Delhi
Surajkund Circle,28.4895222,77.2866377,4.7,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Death Valley,28.4811401,77.2825742,4.1,"park, point_of_interest, establishment",waterfalls,Delhi
Leopard Point 1,28.3404637,77.0333383,5,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Mughal Period Jharna,28.5134242,77.17924339999999,4.2,"point_of_interest, establishment",waterfalls,Delhi
DDA Water Body and wood land,28.5676657,77.0525493,4.3,"park, point_of_interest, establishment",waterfalls,Delhi
ncr hikes,28.493412,77.0961757,3,"park, point_of_interest, establishment",waterfalls,Delhi
Aravalli Hills,28.3613,76.9936,4.6,"park, point_of_interest, establishment",waterfalls,Delhi
Water booster,28.4247421,77.3247385,3.7,"park, point_of_interest, establishment",waterfalls,Delhi
Jharna Mandir Pali Bani,28.3920908,77.2364274,4.6,"hindu_temple, place_of_worship, point_of_interest, establishment",waterfalls,Delhi
Shamsyan Ghat,28.5648633,76.7330526,0,"park, point_of_interest, establishment",waterfalls,Delhi
Baansera Park,28.593796,77.2616895,4.3,"park, point_of_interest, establishment",waterfalls,Delhi
Sohna View Point,28.2445677,77.0612172,3.8,"park, point_of_interest, establishment",waterfalls,Delhi
Ch. Devilal Park Sohna,28.2485682,77.0705388,3.7,"park, point_of_interest, establishment",waterfalls,Delhi
Aravali Hills in Gurgaon,28.3539423,76.996584,4.4,"real_estate_agency, tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Jurassic world,29.0086048,77.0800476,3.9,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Maa Bhuvneshwari Lake,28.3595432,77.0446324,4.3,"tourist_attraction, point_of_interest, establishment",waterfalls,Delhi
Rapat ka pura,28.555437,77.356416,0,"park, point_of_interest, establishment",waterfalls,Delhi
शिखर अरावली दिल्ली.,28.4832104,77.2288847,3.4,"park, point_of_interest, establishment",waterfalls,Delhi
DDA PARK,28.6274544,77.2749674,4.1,"park, point_of_interest, establishment",parks,Delhi
Tughlakabad District Park,28.509514,77.26817280000002,4.2,"park, point_of_interest, establishment",parks,Delhi
TIKONA PARK,28.4806343,77.0173579,4.1,"park, point_of_interest, establishment",parks,Delhi
MCD Park,28.5574037,77.25462809999999,4.1,"park, point_of_interest, establishment",parks,Delhi
Janakpuri Park,28.6310741,77.0904573,4.2,"park, tourist_attraction, point_of_interest, establishment",parks,Delhi
HUDA Park,28.4652066,77.0011166,4,"park, point_of_interest, establishment",parks,Delhi
Satya Niketan Park,28.5869974,77.1676932,4.1,"park, tourist_attraction, point_of_interest, establishment",parks,Delhi
DDA Park,28.6761043,77.1730429,4,"park, point_of_interest, establishment",parks,Delhi
DDA Park,28.594874,77.05124099999999,4.5,"park, point_of_interest, establishment",parks,Delhi
Shaheen Bagh Park,28.5434679,77.2999452,4,"park, point_of_interest, establishment",parks,Delhi
City Park Noida,28.5212213,77.3785765,4.5,"park, point_of_interest, establishment",parks,Delhi
Park,28.647868,77.128556,4,"park, point_of_interest, establishment",parks,Delhi
Lalita Park,28.632444,77.2714594,3.9,"park, point_of_interest, establishment",parks,Delhi
Sri Aurobindo Park,28.5578678,77.2278705,4.3,"park, point_of_interest, establishment",parks,Delhi
Bindapur Park,28.609238,77.066609,3.7,"park, point_of_interest, establishment",parks,Delhi
ParkEnclave Park,28.4484526,77.0470903,4.4,"park, point_of_interest, establishment",parks,Delhi
Baba Ramdev Park,28.672536,77.118543,4,"park, point_of_interest, establishment",parks,Delhi
Park Ramesh Nagar,28.650513,77.12854100000001,3.9,"park, point_of_interest, establishment",parks,Delhi
Govt Park,28.6184635,77.28179329999999,3.8,"park, point_of_interest, establishment",parks,Delhi
Jor Bagh Park,28.5879489,77.217827,4.2,"park, tourist_attraction, point_of_interest, establishment",parks,Delhi
Birbal Park,28.5825147,77.2445109,3.9,"park, point_of_interest, establishment",parks,Delhi
Sanjay Park,28.6310456,77.28122599999999,3.8,"park, point_of_interest, establishment",parks,Delhi
Park,28.5631432,77.2379969,4,"park, point_of_interest, establishment",parks,Delhi
DDA Park Delhi,28.5893914,77.0408729,4.3,"park, point_of_interest, establishment",parks,Delhi
Guru Nanak Park,28.4324187,77.0546263,4.2,"park, point_of_interest, establishment",parks,Delhi
Dwarka Park,28.5958415,77.07268549999999,4,"park, point_of_interest, establishment",parks,Delhi
Jauhar Park JMI,28.5624283,77.28448089999999,4.7,"park, point_of_interest, establishment",parks,Delhi
Dr. Babasaheb Ambedkar Park,28.6138182,77.32708509999999,3.9,"park, point_of_interest, establishment",parks,Delhi
Haji Abbas Park,28.5283827,77.2097627,4,"park, point_of_interest, establishment",parks,Delhi
DDA Park,28.574025,77.2215119,3.6,"park, point_of_interest, establishment",parks,Delhi
"Monkey Park, New Delhi",28.5137562,77.2539855,3.9,"park, point_of_interest, establishment",parks,Delhi
Nar Vihar 1 Park,28.5846695,77.3560885,4.2,"park, point_of_interest, establishment",parks,Delhi
Town Park Sector-31,28.4405605,77.31715319999999,4.3,"park, point_of_interest, establishment",parks,Delhi
Katoch Park,28.5810423,77.25953419999999,4,"park, point_of_interest, establishment",parks,Delhi
Park,28.5792687,77.26106399999999,3.9,"park, point_of_interest, establishment",parks,Delhi
Ansal Park,28.4960243,77.0196855,4.4,"park, point_of_interest, establishment",parks,Delhi
Park,28.6024251,77.11196869999999,4.3,"park, point_of_interest, establishment",parks,Delhi
MCD Park,28.666538,77.121056,4,"park, point_of_interest, establishment",parks,Delhi
Master Green Park,28.5830364,77.3982414,4.6,"park, point_of_interest, establishment",parks,Delhi
M. C. D. Park,28.579166,77.2569,3.7,"park, point_of_interest, establishment",parks,Delhi
Chirag Delhi Park,28.538384,77.2311277,4,"park, point_of_interest, establishment",parks,Delhi
Jaidev Park,28.6708608,77.1505525,4.3,"park, point_of_interest, establishment",parks,Delhi
C Block Park,28.6042922,77.3479096,4.2,"park, point_of_interest, establishment",parks,Delhi
Sector 15 Park,29.0018674,77.0380466,4,"park, point_of_interest, establishment",parks,Delhi
Sahyogi park,28.6070715,77.1099527,3.8,"park, point_of_interest, establishment",parks,Delhi
Siri Fort park,28.5455175,77.2201699,4.5,"park, point_of_interest, establishment",parks,Delhi
Children's Park (Jhule wala park),28.6005479,77.0994564,3.6,"park, point_of_interest, establishment",parks,Delhi
Gurunanak Park,28.4662142,77.0201348,4.1,"park, point_of_interest, establishment",parks,Delhi
"Central Park, RPS Palms, Sector 88, Faridabad",28.4155212,77.35429409999999,4.2,"park, point_of_interest, establishment",parks,Delhi
GH 8 Park Paschim vihar,28.6607536,77.0807664,3.8,"park, point_of_interest, establishment",parks,Delhi
VIP PARK,28.6844685,77.1584513,4,"park, tourist_attraction, point_of_interest, establishment",parks,Delhi
MCD Park,28.582768,77.253305,4.1,"park, point_of_interest, establishment",parks,Delhi
Noida Sector 137 Park,28.5127489,77.4052363,3.4,"park, point_of_interest, establishment",parks,Delhi
Agrasen Park,28.574107,77.223541,3.9,"park, point_of_interest, establishment",parks,Delhi
Satsang Park,28.577432,77.225047,4,"park, point_of_interest, establishment",parks,Delhi
Dussehra Park,28.5730258,77.1706345,4.3,"park, point_of_interest, establishment",parks,Delhi
"Park, Sonipat",28.99258439999999,77.0321051,4.1,"park, point_of_interest, establishment",parks,Delhi
Park,28.6606428,77.15849229999999,3.8,"park, point_of_interest, establishment",parks,Delhi
MCD Park,28.5371333,77.2314055,3.7,"park, point_of_interest, establishment",parks,Delhi
ECO PARK NTPC,28.5149152,77.3122307,4,"park, point_of_interest, establishment",parks,Delhi
Museum of Illusions,28.6332086,77.2179489,4.6,"museum, cafe, store, restaurant, point_of_interest, food, establishment",museums,Delhi
"National Museum, New Delhi",28.6119078,77.21929089999999,4.6,"museum, point_of_interest, establishment",museums,Delhi
National Science Centre,28.6131368,77.24538369999999,4.4,"tourist_attraction, museum, point_of_interest, establishment",museums,Delhi
Dr. Ambedkar National Memorial,28.6840878,77.2219269,4.7,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
National Gallery of Modern Art,28.6101926,77.2344179,4.5,"art_gallery, museum, point_of_interest, establishment",museums,Delhi
National Rail Museum,28.5849873,77.1814107,4.4,"tourist_attraction, museum, point_of_interest, establishment",museums,Delhi
Rashtrapati Bhavan Museum,28.6188603,77.1966736,4.7,"tourist_attraction, museum, point_of_interest, establishment",museums,Delhi
Indira Gandhi Memorial Museum,28.5999159,77.20611219999999,4.5,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Air Force Museum,28.5740052,77.1167105,4.6,"tourist_attraction, museum, point_of_interest, establishment",museums,Delhi
National War Memorial,28.6127174,77.23303949999999,4.8,"tourist_attraction, museum, park, point_of_interest, establishment",museums,Delhi
National Agricultural Science Museum,28.6263901,77.1619638,4.5,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
National Crafts Museum & Hastkala Academy,28.6136111,77.24249999999999,4.6,"tourist_attraction, museum, point_of_interest, establishment",museums,Delhi
Heritage Transport Museum,28.2528179,76.92421,4.6,"tourist_attraction, museum, point_of_interest, establishment",museums,Delhi
Gandhi Smriti Museum,28.6019475,77.2144526,4.5,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
"Sanskriti Kendra, Aya Nagar, Delhi",28.4851576,77.1280355,4.6,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Shankar's International Dolls Museum,28.6304668,77.2414695,4.2,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
National Gandhi Museum,28.6389453,77.24596269999999,4.5,"museum, tourist_attraction, library, point_of_interest, establishment",museums,Delhi
Sulabh International Museum Of Toilets,28.5966398,77.0808026,4.3,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Museo Camera Centre for the Photographic Arts,28.469616,77.0803851,4.7,"museum, point_of_interest, establishment",museums,Delhi
Prime Ministers' Museum & Library,28.6026399,77.1987706,4.5,"museum, tourist_attraction, library, point_of_interest, establishment",museums,Delhi
National Children Museum,28.6325152,77.2376666,4.6,"museum, point_of_interest, establishment",museums,Delhi
Lal Bahadur Shastri Memorial (LBS Musuem),28.6081206,77.21910199999999,4.6,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
National Philatelic Museum,28.6226256,77.21341480000001,4.4,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
Archaeological Museum Red Fort,28.6557505,77.2409389,4.4,"museum, tourist_attraction, point_of_interest, establishment",museums,Delhi
