SNo,longitude,title,latitude
136,114.172119,熱秋夜。#熱 #秋 #夜 #hot #autumn #night #暑い。#🔥 #秋 #夜 #🌃 #victoriaharbour #hongkong,22.282113
137,115.086746,Came Across a White Monkey at Ulawatu Temple | #ulawatu #temple #bali #indonesia #travel #adventure #fire #dance #firedance #kecak #kecakdance,-8.828548
138,55.139822,Desert Rose I,25.077591
139,120.247105,upload,22.77863
140,-39.315,#bomdiadeluzepazeseriedade(27/10/2016)!!,-7.212777
141,-2.462676,HM's been in town.,50.712046
142,6.860666,XP-75-83,52.247833
143,-58.5286,#inktober2016 cuando las aguilas vuelan. El trasgo se oculta.,-34.4708
144,4.785111,In the rain #shoreditch #london #streetstyle #londonlook,52.327727
145,5.812963,20160318 Paysage EDT,45.217811
146,13.43201,@kumpelkeule @markthalleneun #berlin #kreuzberg,52.50199
147,-81.024454,20161025_0765 Carolina Wren (Thryothorus ludoviciaus) with moth,31.95607
148,8.801298,Lack of Context Nr.11 #lack #context #reflections #nightshot #instant #bremen #meinbremen #bremermoment #lovebremen #welovebremen #bremenerleben #igersofbremen #welovehb #instabremen #ilovebremen #igersbremen #deinbremen #instadaily #instaphoto #picofthed,53.076936
149,-73.950492,Snugglebugging. Brooklyn #catsofinstagram #adoptacat #rescuecat,40.67074
150,-7.5,Use this code to earn and also give me 5 eur credit on #lalalab #obrigada #thanks #merci #danke,39.8167
151,-95.713306,The fog has just gotten creepier! #dayinthelife #aedayinthelife #fog #weather #topeka #ks #day #autumn #creepyaf,39.133549
152,125.751271,Pyongyang in the Mist,38.999008
153,-122.468631,"Jess (Burgess Franklin Collins), Seasons of Astringency:  Summer:  Young Goodman Brown, 1958",37.771505
154,24.303045,the light inside us,45.289803
155,6.013469,9969506-tunell,62.475434
156,120.939561,,14.326274
157,-64.506829,Sala de juegos #Ayekan #CarlosPaz #Vacaciones #comuviajera,-31.403333
158,-112.30502,"""Muckraker""",34.608727
159,139.597955,Statue of Daikokuten,35.699013
160,-46.566144,Good morning 4u ☁  #bomdia #good morning #landscape #fotografiaderua #flowers  #flower #flor #jardim #alvesdias #saobernardo #sãobernardodocampo,-23.700479
161,-81.024454,20161025_0759 Yellow-rumped Warbler (Dendroica coronata),31.95607
162,7.882293,Quand la nature se pare de jaune,48.999112
163,14.9792,Verstärker zustellen,51.1472
164,100.493107,Respecting King Rama9 #kingbhumibol #kingbhumiboladulyadej #bangkok #thailand #rip,13.755228
165,-81.024454,20161025_0761 Yellow-rumped Warbler (Dendroica coronata),31.95607
166,-93.736975,IMG_20161014_123323,36.403188
167,-93.737125,IMG_20161014_123336,36.403355
168,-93.736909,IMG_20161015_074806,36.40313
169,-93.736859,IMG_20161015_081140,36.403233
170,-93.736909,IMG_20161015_074815,36.40313
171,6.624884,Autumn Leaf in Conflict,49.770732
172,-46.702241,Obrigado São Paulo por mais um show incrível. Lucena Bar está de parabéns!   @robyethiago  @cantorroby_ret @cantorthiago_ret @valentinacaran @bodinhobarretos  @tonamidia  www.tonamidia.com.br #ToNaMidia  @)#NamoraProCeVer  #TaMoiado,-23.513735
173,-93.736987,IMG_20161016_073831,36.403169
174,121.53039,肉很好吃，菜盤普普。 可共鍋多點肉肉即可！ #板腱牛 #雪花牛 #阿紅 #火鍋 #hotpot   #taiwanfood #taipeifood #food #foodstagram #foodie #fooddiary #foodlover #foodgasm #foodporn #foodpic #foodshot,25.06144
175,-92.61542,IMG_20161016_165424,35.895086
176,-93.737598,IMG_20161016_122443,36.402247
177,41.854162,,41.387125
178,-92.61542,IMG_20161016_165427,35.895086
179,40.433034,upload,21.323025
180,-66.80681,Pedro Navaja 🔪,10.4878
181,-92.615345,IMG_20161016_165451,35.895047
182,-92.6153,IMG_20161016_165509,35.89508
183,-92.363314,IMG_20161020_091344,34.740366
184,-92.238903,IMG_20161021_142338,34.79548
185,-92.23845,IMG_20161021_142508,34.795227
186,-92.268698,IMG_20161021_183922,34.751791
187,6.361255,Robin  |  Rotkehlchen,49.488534
188,-5.3084,👍,35.88723
189,-2.271259,"Crescent, Salford M5, UK(1)",53.484163
190,-92.268859,IMG_20161021_184117,34.751363
191,-92.268859,IMG_20161021_184113,34.751363
192,11.342353,08:57 a.m.,44.504586
193,-2.701809,"Mossy Lea Rd, Wrightington, Wigan WN6, UK",53.608275
194,-92.266662,IMG_20161021_190543,34.749852
195,-73.97701,เที่ยวนิวยอร์กวันสุดท้ายล่ะ พรุ่งนี้กลับแบ้ววว เวลาผ่านไปเร็วจุง 😭 มีpassเหลือใบสุดท้ายเลยมา central park walk tour ในวันฝนตก,40.76325
196,-92.266662,IMG_20161021_190539,34.749852
