Name,Latitude,Longitude,Rating,Categories,Keyword,State,Season,District,Visitors Count of Ratings
"Hanuman Temple, Bhogpur",26.5425728,91.1837393,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
Sarania supa gopal Temple,26.7002006,91.46762199999999,4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
Shiv Temple,26.4448915,91.4455449,5,"place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,2
Pub Hokartup Community Temple,26.5878036,91.14439329999999,4.3,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,9
Chantapara Madhab Gokhai Temple,26.6293818,91.27981,3,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,3
Temple,26.4350086,91.4204089,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,2
Krishna temple,26.4720178,91.2590226,4.8,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,4
Moina Pukhuri Mandir,26.7857755,91.35140849999999,4.7,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,10
Sri Sri Gopinath Dev Temple,26.4261967,91.07018149999999,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,2
Silpotabori Gopal Mondir,26.4259377,91.498297,4.9,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,7
Siv Temple,26.4787762,91.39298579999999,4.4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,5
Sariahtali gopal than temple,26.4634131,91.4252755,4.7,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,11
Khatalpara Shiva Temple,26.4439817,90.9809502,4.7,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,6
Shri Hanuman Temple,26.5044087,91.1781379,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,5
Thekarpam Shib temple,26.5265592,91.0757962,0,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,0
Shiv Mandir,26.434889,91.42709359999999,4.8,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,27
Hanuman Mandir,26.4589038,91.4459447,4.9,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,17
Sonaton Ashram Temple,26.4870476,91.18119399999999,4.4,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,17
Satsang Mandir,26.5085965,90.97018059999999,4.1,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,49
Shive Temple,26.7135875,91.306632,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
Gopal Vigraha Temple,26.4898921,91.17441900000001,5,"hindu_temple, place_of_worship, point_of_interest, establishment",temples,Assam,All Seasons,Baksa,1
